,Policy,Total Sentences,Total Words,Total Explicit,Total Implicit,Total Other,Total Actions,Total Data Objects,Total Purposes
0,10Duke,129,2795,0,2,127,129,42,129
1,1nce,201,4053,1,4,196,201,61,201
2,3DHubs,117,2302,0,6,111,117,41,117
3,3DSystems,149,3371,0,12,137,149,54,149
4,3Forge,34,827,0,4,30,34,14,34
5,3onedata,60,1045,0,4,56,60,22,60
6,3scaleRedHat,176,4445,0,18,158,176,64,176
7,3SenseTechnology,203,5285,0,11,192,203,91,203
8,4NGLimited,29,603,0,1,28,29,8,29
9,51HiTech,7,43,0,0,7,7,1,7
10,5X,61,1032,0,2,59,61,18,61
11,6WIND,47,732,0,0,47,47,9,47
12,75F,238,6199,0,3,235,238,77,238
13,99Cloud,65,1562,0,6,59,65,28,65
14,9Solutions,50,975,0,2,48,50,20,50
15,AbacoSystems,178,4223,0,5,173,178,64,178
16,Abiogenix,34,760,0,3,31,34,16,34
17,ABIVIN,46,760,0,2,44,46,15,46
18,Abracon,3,30,0,0,3,3,0,3
19,Absolute,235,5812,0,19,216,235,106,235
20,Accenture,149,3537,0,10,139,149,50,149
21,AccumineTechnologiesLtd,26,539,0,2,24,26,12,26
22,AccureInc,24,426,0,1,23,24,3,24
23,AcePillar,82,1552,0,3,79,82,25,82
24,AcnodesCorporation,50,964,0,1,49,50,16,50
25,Acromag,56,1128,0,6,50,56,19,56
26,AcrosserTechnology,27,825,0,0,27,27,16,27
27,AcSiPTechnologyCorp,7,57,0,0,7,7,0,7
28,Actemium,154,3218,0,10,144,154,70,154
29,Actility,43,866,0,5,38,43,22,43
30,AcuityBrands,107,2641,0,16,91,107,74,107
31,Acunote,49,1081,0,4,45,49,23,49
32,AdafruitIndustries,142,2941,0,10,132,142,46,142
33,AdaptiveWirelessSolutions,154,3901,0,6,148,154,56,154
34,ADATA,115,2552,1,9,105,115,49,115
35,Adbits,89,2116,0,3,86,89,33,89
36,AdhereTech,109,2361,0,7,102,109,32,109
37,ADIEngineeringInc,67,1284,0,0,67,67,16,67
38,ADLINK,28,507,0,0,28,28,7,28
39,ADRF,108,2118,0,5,103,108,44,108
40,adstecGmbH,212,5804,0,9,203,212,92,212
41,ADTRANInc,120,2644,0,7,113,120,35,120
42,AdvancedEnergy,92,2015,0,11,81,92,29,92
43,AdvantagTecnologiaLtda,161,3681,0,8,153,161,78,161
44,Advantech,421,9340,0,25,396,421,154,421
45,AdvantechBBSmartWorxAdvantech,58,1119,0,3,55,58,27,58
46,Advanticsys,37,940,0,3,34,37,16,37
47,AegisMobility,49,990,0,6,43,49,26,49
48,AegisSoftware,144,3950,0,4,140,144,75,144
49,AegisTechnology,144,3950,0,4,140,144,75,144
50,AerodyneGroup,93,1968,0,7,86,93,42,93
51,Aeroscout,7,99,0,0,7,7,4,7
52,AEviceHealth,51,1398,0,2,49,51,19,51
53,AEWIN,133,2375,0,4,129,133,44,133
54,AFourTechnologies,46,989,0,2,44,46,19,46
55,AgilePQ,43,822,0,1,42,43,17,43
56,Aginova,14,174,0,0,14,14,5,14
57,AgLeader,32,537,0,0,32,32,9,32
58,AHGInc,49,1134,0,4,45,49,20,49
59,Aicas,292,6726,6,7,279,292,106,292
60,AICMonitor,113,2569,0,4,109,113,40,113
61,AikaanLabs,35,748,0,0,35,35,13,35
62,Ailytic,33,640,0,0,33,33,10,33
63,Airbiquity,46,1014,0,4,42,46,20,46
64,Airly,47,1025,0,2,45,47,14,47
65,Airtel,58,1376,0,2,56,58,20,58
66,AIStorm,5,34,0,0,5,5,1,5
67,AitechRobotics,136,3433,1,11,124,136,60,136
68,AIVIDTechvision,18,237,0,0,18,18,4,18
69,AiwaDigital,32,741,0,4,28,32,16,32
70,AkenzaAG,57,1446,0,4,53,57,24,57
71,Akvelon,57,1298,0,3,54,57,18,57
72,AlascomServicesSrl,23,630,0,2,21,23,14,23
73,AlgoEngines,58,1420,0,4,54,58,27,58
74,AlibabaCloudAliyun,87,2390,0,7,80,87,40,87
75,AlibabaGroup,33,795,0,2,31,33,13,33
76,AlienTechnology,57,1238,0,3,54,57,27,57
77,AlinketElectronicTechnologyShanghaiCoLtd,11,210,0,0,11,11,2,11
78,ALLEGION,134,3345,0,8,126,134,49,134
79,AllegroMicroSystems,136,3052,0,4,132,136,50,136
80,Alloy,132,3318,0,16,116,132,56,132
81,AllThingsTalk,14,264,0,2,12,14,8,14
82,AlnickoDevelopment,173,3628,0,8,165,173,57,173
83,ALOALTO,117,2276,0,3,114,117,33,117
84,AlphaampOmegaSemiconductor,42,786,0,2,40,42,13,42
85,AlphaOriTechnologies,73,1681,0,4,69,73,31,73
86,AlphaWire,49,1027,0,3,46,49,20,49
87,Alpwise,44,752,0,2,42,44,15,44
88,Altair,164,3835,0,13,151,164,61,164
89,AltairEDEM,164,3835,0,13,151,164,61,164
90,ALTENCalsoftLabs,22,322,0,0,22,22,1,22
91,AltiumLimited,117,2947,0,10,107,117,38,117
92,AltiuxInnovations,13,231,0,0,13,13,5,13
93,AltizonSystems,68,1591,0,4,64,68,27,68
94,Altoros,24,460,0,3,21,24,9,24
95,AltranTechnologies,114,2488,0,1,113,114,30,114
96,AlysonTaylor,76,1403,0,3,73,76,24,76
97,AmazonWebServices,107,2143,1,1,105,107,31,107
98,AmbiqMicro,61,1199,0,1,60,61,24,61
99,Ambyint,29,728,0,1,28,29,11,29
100,AMPDTechnologies,69,1473,0,3,66,69,32,69
101,AmphenolAdvancedSensors,85,1952,0,12,73,85,36,85
102,AmphenolRF,89,1961,0,11,78,89,38,89
103,Ampla,64,1303,0,2,62,64,16,64
104,AmplifiedEngineering,7,109,0,0,7,7,1,7
105,Ampotech,40,977,0,5,35,40,17,40
106,amsAG,132,3357,0,5,127,132,61,132
107,Anagog,158,3402,0,23,135,158,61,158
108,Anaren,3,40,0,0,3,3,0,3
109,AndrewCole,28,425,0,0,28,28,6,28
110,Ankoglass,102,2089,0,8,94,102,41,102
111,Anova,170,4544,0,5,165,170,76,170
112,Anritsu,46,1048,0,2,44,46,20,46
113,Antmicro,12,148,0,0,12,12,3,12
114,Antsomi,14,109,0,0,14,14,1,14
115,Antwork,62,1697,0,2,60,62,25,62
116,ApexAutomationandRobotics,18,388,0,0,18,18,6,18
117,Apio,105,2209,0,0,105,105,35,105
118,Aplex,67,1455,1,2,64,67,24,67
119,Apostera,24,253,0,1,23,24,6,24
120,AppliedInformaticsSoftwareEngineeringGmbH,30,481,0,2,28,30,10,30
121,AppliedRisk,22,484,0,1,21,22,13,22
122,Apptimia,40,625,0,1,39,40,16,40
123,Apptricity,9,196,0,0,9,9,3,9
124,Aptiv,103,2273,0,5,98,103,35,103
125,Aptomar,4,103,0,0,4,4,1,4
126,APUQI,50,951,0,1,49,50,17,50
127,AquamatiXLtd,46,748,0,1,45,46,19,46
128,Aquicore,80,1777,0,10,70,80,32,80
129,Aranet,5,149,0,0,5,5,2,5
130,ArasCorp,19,278,0,2,17,19,10,19
131,ARAYA,14,251,0,2,12,14,4,14
132,ArborTechnology,52,967,1,8,43,52,23,52
133,ArcadiaDataCloudera,34,498,0,0,34,34,9,34
134,ARCHERMIND,60,1126,0,1,59,60,18,60
135,ARCSTONE,13,314,0,1,12,13,4,13
136,ARDIC,17,396,0,4,13,17,10,17
137,Arduino,207,6041,0,27,180,207,109,207
138,ArecontVision,55,1242,0,4,51,55,23,55
139,ArgusControlSystems,19,253,0,1,18,19,3,19
140,Argustechnologies,83,1761,0,4,79,83,23,83
141,AritaWebInc,35,597,0,1,34,35,10,35
142,Arkessa,135,2660,0,1,134,135,44,135
143,Arm,105,2473,0,10,95,105,36,105
144,ArmadaChain,27,771,0,5,22,27,15,27
145,ArmItCo,46,1008,0,1,45,46,18,46
146,Array,32,496,0,2,30,32,5,32
147,ArtesisAS,38,589,0,3,35,38,19,38
148,ArtesynEmbeddedTechnologies,107,2759,0,3,104,107,43,107
149,ArtiMindsRoboticsGmbH,20,282,0,0,20,20,7,20
150,ArubaNetworksHewlettPackardEnterpriseHPE,11,146,0,0,11,11,1,11
151,ArundoAnalytics,113,2873,0,5,108,113,44,113
152,Arviem,61,1125,0,2,59,61,25,61
153,ArxanTechnologies,95,1973,0,6,89,95,37,95
154,AsahiKaseiMicrodevices,92,1750,0,3,89,92,26,92
155,ASATTech,25,469,0,0,25,25,11,25
156,Asavie,106,2437,0,1,105,106,39,106
157,Ascalia,77,1416,0,1,76,77,32,77
158,AscomAG,86,1891,0,5,81,86,46,86
159,ASOCS,61,1088,0,2,59,61,20,61
160,Aspen,132,3156,0,4,128,132,50,132
161,AspireSystems,89,1755,0,5,84,89,34,89
162,AssetPulse,28,494,0,0,28,28,13,28
163,astozi,101,2118,0,8,93,101,45,101
164,Astralink,40,883,0,0,40,40,12,40
165,Astrata,28,598,0,1,27,28,14,28
166,AtachiSystems,66,1358,0,1,65,66,19,66
167,ATampT,136,2555,0,6,130,136,39,136
168,Atheer,130,2756,0,9,121,130,44,130
169,AtmarkTechno,0,0,0,0,0,0,0,0
170,Atollogy,70,1831,0,6,64,70,33,70
171,AtomRobot,82,1917,0,7,75,82,40,82
172,ATPElectronicsInc,81,1348,0,5,76,81,31,81
173,ATS,118,3041,0,5,113,118,38,118
174,ATTAbotics,51,900,0,1,50,51,12,51
175,Attify,44,967,0,2,42,44,13,44
176,ATTOTechnologyInc,45,744,0,4,41,45,16,45
177,Augmate,73,1456,0,5,68,73,34,73
